MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
60,RL,65.0,8450,Reg,Inside,CollgCr,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,No,GLQ,706,0,150,856,Ex,856,854,0,1710,1.0,0.0,2,1,3,1,Gd,8,0,Attchd,2003.0,RFn,2,548,0,61,0,0,0,0,0,2,2008,208500
20,RL,80.0,9600,Reg,Other,Other,1Story,6,8,1976,1976,MetalSd,MetalSd,None,0.0,TA,CBlock,Gd,Gd,ALQ,978,0,284,1262,Ex,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,6,1,Attchd,1976.0,RFn,2,460,298,0,0,0,0,0,0,5,2007,181500
60,RL,68.0,11250,IR1,Inside,CollgCr,2Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,Mn,GLQ,486,0,434,920,Ex,920,866,0,1786,1.0,0.0,2,1,3,1,Gd,6,1,Attchd,2001.0,RFn,2,608,0,42,0,0,0,0,0,9,2008,223500
70,RL,60.0,9550,IR1,Corner,Other,2Story,7,5,1915,1970,Wd Sdng,Other,None,0.0,TA,BrkTil,TA,No,ALQ,216,0,540,756,Gd,961,756,0,1717,1.0,0.0,1,0,3,1,Gd,7,1,Detchd,1998.0,Unf,3,642,0,35,272,0,0,0,0,2,2006,140000
60,RL,84.0,14260,IR1,Other,Other,2Story,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,Av,GLQ,655,0,490,1145,Ex,1145,1053,0,2198,1.0,0.0,2,1,4,1,Gd,9,1,Attchd,2000.0,RFn,3,836,192,84,0,0,0,0,0,12,2008,250000
50,RL,85.0,14115,IR1,Inside,Other,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,None,0.0,TA,Other,Gd,No,GLQ,732,0,64,796,Ex,796,566,0,1362,1.0,0.0,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,40,30,0,320,0,0,700,10,2009,143000
20,RL,75.0,10084,Reg,Inside,Somerst,1Story,8,5,2004,2005,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,Av,GLQ,1369,0,317,1686,Ex,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,7,1,Attchd,2004.0,RFn,2,636,255,57,0,0,0,0,0,8,2007,307000
50,RM,51.0,6120,Reg,Inside,OldTown,1.5Fin,7,5,1931,1950,Other,Other,None,0.0,TA,BrkTil,TA,No,Unf,0,0,952,952,Gd,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,8,2,Detchd,1931.0,Unf,2,468,90,0,205,0,0,0,0,4,2008,129900
190,RL,50.0,7420,Reg,Corner,Other,Other,5,6,1939,1950,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,GLQ,851,0,140,991,Ex,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,2,Attchd,1939.0,RFn,1,205,0,4,0,0,0,0,0,1,2008,118000
20,RL,70.0,11200,Reg,Inside,Other,1Story,5,5,1965,1965,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Rec,906,0,134,1040,Ex,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,0,Detchd,1965.0,Unf,1,384,0,0,0,0,0,0,0,2,2008,129500
60,RL,85.0,11924,IR1,Inside,NridgHt,2Story,9,5,2005,2006,Other,Other,Stone,286.0,Other,PConc,Ex,No,GLQ,998,0,177,1175,Ex,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,11,2,BuiltIn,2005.0,Fin,3,736,147,21,0,0,0,0,0,7,2006,345000
20,RL,91.0,10652,IR1,Inside,CollgCr,1Story,7,5,2006,2007,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,Av,Unf,0,0,1494,1494,Ex,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,7,1,Attchd,2006.0,RFn,3,840,160,33,0,0,0,0,0,8,2007,279500
45,RM,51.0,6120,Reg,Corner,Other,Other,7,8,1929,2001,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,Unf,0,0,832,832,Ex,854,0,0,854,0.0,0.0,1,0,2,1,TA,5,0,Detchd,1991.0,Unf,2,576,48,112,0,0,0,0,0,7,2007,132000
20,RL,66.0,13695,Reg,Inside,Other,1Story,5,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,GLQ,646,0,468,1114,Ex,1114,0,0,1114,1.0,0.0,1,1,3,1,Gd,6,0,Detchd,2004.0,Unf,2,576,0,102,0,0,0,0,0,6,2008,159000
20,RL,70.0,7560,Reg,Inside,NAmes,1Story,5,6,1958,1965,Other,Plywood,None,0.0,TA,CBlock,TA,No,LwQ,504,0,525,1029,TA,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,6,0,Attchd,1958.0,Unf,1,294,0,0,0,0,0,0,0,5,2009,139000
60,RL,101.0,14215,IR1,Corner,NridgHt,2Story,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,Av,Unf,0,0,1158,1158,Ex,1158,1218,0,2376,0.0,0.0,3,1,4,1,Gd,9,1,BuiltIn,2005.0,RFn,3,853,240,154,0,0,0,0,0,11,2006,325300
